frame.len,tcp.srcport,tcp.dstport,ip.proto,tcp.len,tcp.window_size,frame.time_delta,label
1466,443,55386,6,1412,64240,0.000377765,0
1466,443,55386,6,1412,64240,0.000000769,0
7114,443,55386,6,7060,64240,0.000000226,0
2878,443,55386,6,2824,64240,0.000248598,0
2878,443,55386,6,2824,64240,0.000000376,0
1466,443,55386,6,1412,64240,0.000000186,0
2878,443,55386,6,2824,64240,0.000000117,0
1466,443,55386,6,1412,64240,0.000000183,0
2878,443,55386,6,2824,64240,0.000103851,0
54,55386,443,6,0,65535,0.000212103,0
2878,443,55386,6,2824,64240,0.000154306,0
2878,443,55386,6,2824,64240,0.00000084,0
2878,443,55386,6,2824,64240,0.000000421,0
54,55386,443,6,0,65535,0.000080581,0
2878,443,55386,6,2824,64240,0.001390569,0
2878,443,55386,6,2824,64240,0.000000468,0
2878,443,55386,6,2824,64240,0.000000142,0
2878,443,55386,6,2824,64240,0.000000117,0
54,55386,443,6,0,65535,0.000051671,0
2878,443,55386,6,2824,64240,0.000189382,0
2878,443,55386,6,2824,64240,0.00000049,0
2878,443,55386,6,2824,64240,0.000000209,0
2878,443,55386,6,2824,64240,0.000000149,0
519,443,55386,6,465,64240,0.000170703,0
54,55386,443,6,0,65535,0.000092809,0
93,55386,443,6,39,65535,0.004461428,0
60,443,55386,6,0,64240,0.000755619,0
78,55386,443,6,24,65535,0.001070629,0
54,55386,443,6,0,65535,0.000332915,0
60,443,55386,6,0,64240,0.000126365,0
60,443,55386,6,0,64239,0.000646734,0
60,443,55386,6,0,64239,0.02682097,0
54,55386,443,6,0,39108,0.000065442,0
74,,,17,,,0.071798848,0
74,,,17,,,0.001204228,0
74,,,17,,,0.001095708,0
85,,,17,,,1.047184344,0
85,,,17,,,0.000286024,0
254,,,17,,,0.016229684,0
166,,,17,,,0.00000174,0
74,48840,443,6,0,64240,0.007358886,0
60,443,48840,6,0,64240,0.037526136,0
54,48840,443,6,0,64240,0.000112245,0
1964,48840,443,6,1910,64240,0.012597753,0
60,443,48840,6,0,64240,0.001227127,0
60,443,48840,6,0,64240,0.000001256,0
2878,443,48840,6,2824,64240,0.069418544,0
297,443,48840,6,243,64240,0.000001319,0
54,48840,443,6,0,65535,0.000080249,0
54,48840,443,6,0,65535,0.000198711,0
118,48840,443,6,64,65535,0.092078651,0
60,443,48840,6,0,64240,0.001721828,0
672,443,48840,6,618,64240,0.031928048,0
54,48840,443,6,0,65535,0.000080502,0
146,48840,443,6,92,65535,0.038165349,0
60,443,48840,6,0,64240,0.001069417,0
85,48840,443,6,31,65535,0.029679197,0
60,443,48840,6,0,64240,0.001225448,0
85,443,48840,6,31,64240,0.000000712,0
54,48840,443,6,0,65535,0.000050133,0
74,48850,443,6,0,64240,0.036040795,0
60,443,48850,6,0,64240,0.034723044,0
54,48850,443,6,0,64240,0.000132221,0
1304,48850,443,6,1250,64240,0.022954946,0
60,443,48850,6,0,64240,0.000978449,0
272,443,48850,6,218,64240,0.035645829,0
54,48850,443,6,0,64022,0.000111963,0
118,48850,443,6,64,64022,0.005039443,0
60,443,48850,6,0,64240,0.001744606,0
670,48850,443,6,616,64022,0.011619443,0
60,443,48850,6,0,64240,0.001844203,0
886,443,48850,6,832,64240,0.276504509,0
54,48850,443,6,0,63190,0.044237135,0
193,48850,443,6,139,63190,1.15313138,0
60,443,48850,6,0,64240,0.00147506,0
246,443,48850,6,192,64240,0.254084906,0
54,48850,443,6,0,62998,0.000085037,0
74,36126,443,6,0,64240,0.022425668,0
60,443,36126,6,0,64240,0.018501564,0
54,36126,443,6,0,64240,0.00011684,0
206,52132,443,6,152,65535,0.017369882,0
60,443,52132,6,0,64240,0.001773728,0
1976,36126,443,6,1922,64240,0.009012684,0
60,443,36126,6,0,64240,0.002181381,0
60,443,36126,6,0,64240,0.000001136,0
666,443,52132,6,612,64240,0.000000299,0
54,52132,443,6,0,65535,0.000111117,0
174,52132,443,6,120,65535,0.014588223,0
60,443,52132,6,0,64240,0.002849739,0
733,443,52132,6,679,64240,0.01347788,0
2934,443,36126,6,2880,64240,0.00000077,0
1692,443,36126,6,1638,64240,0.000000079,0
54,36126,443,6,0,65535,0.000075632,0
54,36126,443,6,0,65535,0.000094018,0
118,36126,443,6,64,65535,0.017648741,0
60,443,36126,6,0,64240,0.002691942,0
163,36126,443,6,109,65535,0.000901963,0
60,443,36126,6,0,64240,0.002181771,0
78,36126,443,6,24,65535,0.003694814,0
54,36126,443,6,0,65535,0.000285534,0
60,443,36126,6,0,64240,0.000174354,0
60,443,36126,6,0,64239,0.000497682,0
54,52132,443,6,0,65535,0.015266577,0
78,443,36126,6,24,64239,0.000484945,0
54,36126,443,6,0,0,0.00005311,0
172,52132,443,6,118,65535,0.019943427,0
60,443,52132,6,0,64240,0.000817024,0
4781,443,52132,6,4727,64240,0.017889464,0
54,52132,443,6,0,65535,0.000109114,0
2934,443,52132,6,2880,64240,0.000495954,0
54,52132,443,6,0,65535,0.000062881,0
876,443,52132,6,822,64240,0.00043429,0
54,52132,443,6,0,65535,0.000061936,0
546,,,17,,,0.574861257,0
347,,,17,,,0.000001094,0
450,,,17,,,0.000779032,0
1294,,,17,,,0.048338665,0
1294,,,17,,,0.000399078,0
85,,,17,,,0.016147097,0
1294,,,17,,,0.000001067,0
1294,,,17,,,0.000000315,0
1294,,,17,,,0.000000141,0
1294,,,17,,,0.019260653,0
1294,,,17,,,0.00000093,0
1294,,,17,,,0.000000951,0
128,,,17,,,0.009373699,0
74,46146,443,6,0,64240,0.014989695,0
1294,,,17,,,0.001770519,0
597,,,17,,,0.000001317,0
60,443,46146,6,0,64240,0.013988742,0
54,46146,443,6,0,64240,0.000092838,0
85,,,17,,,0.06964269,0
1294,,,17,,,0.001146297,0
1953,46146,443,6,1899,64240,0.009550959,0
60,443,46146,6,0,64240,0.001043508,0
60,443,46146,6,0,64240,0.000001116,0
86,,,17,,,0.000388039,0
173,,,17,,,0.013662194,0
114,,,17,,,0.000527324,0
411,,,17,,,0.002019603,0
659,,,17,,,0.016072533,0
166,,,17,,,0.000001142,0
70,,,17,,,0.000000183,0
72,,,17,,,0.000000119,0
73,,,17,,,0.004184701,0
3940,443,46146,6,3886,64240,0.003813532,0
54,46146,443,6,0,65535,0.000070744,0
118,46146,443,6,64,65535,0.04619615,0
60,443,46146,6,0,64240,0.001133888,0
146,46146,443,6,92,65535,0.007488194,0
60,443,46146,6,0,64240,0.001243443,0
1290,,,17,,,0.003543198,0
1290,,,17,,,0.000000925,0
1294,,,17,,,0.000000208,0
1294,,,17,,,0.000000138,0
1294,,,17,,,0.000000138,0
1294,,,17,,,0.000000138,0
1294,,,17,,,0.000000141,0
1294,,,17,,,0.000000136,0
1294,,,17,,,0.000293472,0
1294,,,17,,,0.000000985,0
1294,,,17,,,0.000000232,0
1294,,,17,,,0.000000153,0
1294,,,17,,,0.000000145,0
1294,,,17,,,0.00444338,0
1294,,,17,,,0.000001247,0
1294,,,17,,,0.007950178,0
1294,,,17,,,0.000001329,0
1294,,,17,,,0.000000213,0
1294,,,17,,,0.000000111,0
1294,,,17,,,0.000000144,0
1294,,,17,,,0.00079646,0
1294,,,17,,,0.000000968,0
1294,,,17,,,0.000000208,0
1294,,,17,,,0.000000397,0
1294,,,17,,,0.002138499,0
1294,,,17,,,0.000000532,0
1294,,,17,,,0.006109107,0
1294,,,17,,,0.000001217,0
1294,,,17,,,0.000000257,0
1294,,,17,,,0.000000139,0
1294,,,17,,,0.000000144,0
80,,,17,,,0.004437828,0
1294,,,17,,,0.002782811,0
1294,,,17,,,0.000000706,0
1294,,,17,,,0.000000255,0
701,443,46146,6,647,64240,0.000000115,0
1294,,,17,,,0.000000158,0
1294,,,17,,,0.000000116,0
1294,,,17,,,0.000000156,0
387,,,17,,,0.000000116,0
54,46146,443,6,0,65535,0.000098315,0
73,,,17,,,0.010910459,0
85,46146,443,6,31,65535,0.00860069,0
60,443,46146,6,0,64240,0.001859085,0
69,,,17,,,0.017472495,0
1294,,,17,,,1.270857618,0
599,,,17,,,0.000415937,0
73,,,17,,,0.019015467,0
73,,,17,,,0.000511624,0
203,52132,443,6,149,65535,0.001058467,0
60,443,52132,6,0,64240,0.002054897,0
10425,443,52132,6,10371,64240,0.016753316,0
54,52132,443,6,0,65535,0.000077075,0
2934,443,52132,6,2880,64240,0.000245963,0
629,443,52132,6,575,64240,0.000000932,0
54,52132,443,6,0,65535,0.000052317,0
54,52132,443,6,0,65535,0.000170144,0
1294,,,17,,,0.119453325,0
495,,,17,,,0.000316226,0
77,,,17,,,0.00195052,0
435,,,17,,,0.014093643,0
1290,,,17,,,0.000001167,0
485,,,17,,,0.000000231,0
75,,,17,,,0.000000118,0
78,,,17,,,0.000613602,0
70,,,17,,,0.040487163,0
181,35264,443,6,127,65535,0.175899757,0
60,443,35264,6,0,64240,0.001014435,0
5696,443,35264,6,5642,64240,0.033379515,0
54,35264,443,6,0,65535,0.000108256,0
100,443,35264,6,46,64240,0.002497157,0
100,35264,443,6,46,65535,0.028900019,0
60,443,35264,6,0,64240,0.001118446,0
1290,,,17,,,0.018648543,0
361,,,17,,,0.000001375,0
68,,,17,,,0.000000226,0
80,,,17,,,0.030186284,0
70,,,17,,,0.043170662,0
970,,,17,,,0.876948873,0
74,,,17,,,0.03892052,0
74,,,17,,,0.000500529,0
1290,,,17,,,0.011582006,0
